X;Y;OBJECTID;created_date;created_user;src_geo;clc_quartier;clc_secteur;haut_tot;haut_tronc;tronc_diam;fk_arb_etat;fk_stadedev;fk_port;fk_pied;fk_situation;fk_revetement;commentaire_environnement;dte_plantation;age_estim;fk_prec_estim;clc_nbr_diag;dte_abattage;fk_nomtech;last_edited_user;last_edited_date;villeca;nomfrancais;nomlatin;GlobalID;CreationDate;Creator;EditDate;Editor;feuillage;remarquable
1721517.0743;8295749.3748;4906;02/02/2017;mickael.delaere;Orthophoto;Quartier de l'Europe;Avenue Robert Schuman;4;2;35;REMPLACÉ;Adulte;Semi libre;Fosse arbre;Alignement;Non;RAS;;30;2;0;01/10/2017;MAGKOB;mickael.delaere;12/05/2017;Ville;MAGKOB;MAGKOB;{CDEEBF56-AA45-4950-943F-B13FDE5C0EA3};15/01/2018;mickael.delaere;15/01/2018;mickael.delaere;Feuillu;Non
1721527.0141;8295756.3825;4907;02/02/2017;mickael.delaere;Orthophoto;Quartier de l'Europe;Avenue Robert Schuman;4;2;30;EN PLACE;Adulte;Semi libre;Fosse arbre;Alignement;Non;RAS;;30;2;0;;MAGKOB;mickael.delaere;12/05/2017;Ville;MAGKOB;MAGKOB;{4427DA3C-BA89-4352-BD02-265638375764};15/01/2018;mickael.delaere;15/01/2018;mickael.delaere;Feuillu;Non
1721537.0597;8295763.4695;4908;02/02/2017;mickael.delaere;Orthophoto;Quartier de l'Europe;Avenue Robert Schuman;4;2;30;EN PLACE;Adulte;Semi libre;Fosse arbre;Alignement;Non;RAS;;30;2;0;;MAGKOB;mickael.delaere;12/05/2017;Ville;MAGKOB;MAGKOB;{D9D5584A-82E5-4AC0-AC27-0497CAEA2BF0};15/01/2018;mickael.delaere;15/01/2018;mickael.delaere;Feuillu;Non
1721619.6072;8295792.6617;4909;02/02/2017;mickael.delaere;Orthophoto;Quartier de l'Europe;Avenue Robert Schuman;15;2;135;EN PLACE;Adulte;Semi libre;Gazon;Isolé;Non;RAS;;40;1;0;;CARBET;mickael.delaere;12/05/2017;Ville;CARBET;CARBET;{8BC91E30-195B-43A2-BB4A-C544325F394F};15/01/2018;mickael.delaere;15/01/2018;mickael.delaere;Feuillu;Non
1721605.6212;8295836.4481;4910;02/02/2017;mickael.delaere;Orthophoto;Quartier de l'Europe;Avenue Robert Schuman;17;3;170;EN PLACE;Adulte;Semi libre;Bande de terre;Alignement;Oui;RAS;;50;1;0;;TILHEN;mickael.delaere;12/05/2017;Ville;TILHEN;TILHEN;{24741050-078B-4ECF-A440-4661BDEDFC87};15/01/2018;mickael.delaere;15/01/2018;mickael.delaere;Feuillu;Non
1721610.0162;8295839.8197;4911;02/02/2017;mickael.delaere;Orthophoto;Quartier de l'Europe;Avenue Robert Schuman;17;2;155;EN PLACE;Adulte;Semi libre;Bande de terre;Alignement;Non;RAS;;50;1;0;;TILHEN;mickael.delaere;12/05/2017;Ville;TILHEN;TILHEN;{4586D676-5144-471E-948E-04373DD07617};15/01/2018;mickael.delaere;15/01/2018;mickael.delaere;Feuillu;Non
1721622.177;8295844.8118;4912;02/02/2017;mickael.delaere;Orthophoto;Quartier de l'Europe;Avenue Robert Schuman;16;2;165;EN PLACE;Adulte;Semi libre;Bande de terre;Groupe;Non;RAS;;50;1;0;;CATBIG;mickael.delaere;12/05/2017;Ville;CATBIG;CATBIG;{75950AF3-0F34-45F0-8F95-779E1B8F1EDE};15/01/2018;mickael.delaere;15/01/2018;mickael.delaere;Feuillu;Non
1721630.9017;8295844.714;4913;02/02/2017;mickael.delaere;Orthophoto;Quartier de l'Europe;Avenue Robert Schuman;16;3;210;EN PLACE;Adulte;Semi libre;Bande de terre;Groupe;Non;RAS;;50;1;0;;TILHEN;mickael.delaere;12/05/2017;Ville;TILHEN;TILHEN;{802C2D1C-44CF-40A5-845F-6CF1122BCCD2};15/01/2018;mickael.delaere;15/01/2018;mickael.delaere;Feuillu;Non
1721658.0697;8295828.2603;4914;02/02/2017;mickael.delaere;Orthophoto;Quartier de l'Europe;Avenue Robert Schuman;8;2;90;EN PLACE;Adulte;Semi libre;Bac de plantation;Isolé;Non;RAS;;40;1;0;;PRUCERpis;mickael.delaere;12/05/2017;Ville;PRUCERpis;PRUCERpis;{CA24C248-036A-48B0-B321-C308A87A1FF4};15/01/2018;mickael.delaere;15/01/2018;mickael.delaere;Feuillu;Non
1721673.8701;8295805.8892;4915;02/02/2017;mickael.delaere;Orthophoto;Quartier de l'Europe;Avenue Robert Schuman;17;2;195;EN PLACE;Adulte;Semi libre;Bac de plantation;Groupe;Non;RAS;;55;1;0;;TILHEN;mickael.delaere;12/05/2017;Ville;TILHEN;TILHEN;{B627B161-D77F-4C57-BE56-8C1A32E581B8};15/01/2018;mickael.delaere;15/01/2018;mickael.delaere;Feuillu;Non
1721678.6301;8295798.2559;4916;02/02/2017;mickael.delaere;Orthophoto;Quartier de l'Europe;Avenue Robert Schuman;17;2;195;EN PLACE;Adulte;Semi libre;Bac de plantation;Groupe;Non;RAS;;60;1;0;;TILHEN;mickael.delaere;12/05/2017;Ville;TILHEN;TILHEN;{CEB73308-93BF-448D-A77D-A53FF8AF32A8};15/01/2018;mickael.delaere;15/01/2018;mickael.delaere;Feuillu;Non
